,Unnamed: 0,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio,Time
79,5,2023-04-15,18:30,Série A,Rodada da semana 1,sáb,Em casa,E,1.0,1.0,Internacional,1.5,0.9,48.0,,Guilherme Tinga,4-2-2-2,Edina Alves Batista,Relatório da Partida,Castelão,Fortaleza
80,8,2023-04-29,16:30,Série A,Rodada da semana 3,sáb,Em casa,V,4.0,2.0,Fluminense,5.3,1.5,31.0,,Guilherme Tinga,4-4-2,Raphael Claus,Relatório da Partida,Castelão,Fortaleza
81,11,2023-05-11,20:00,Série A,Rodada da semana 5,qui,Em casa,E,0.0,0.0,São Paulo,0.8,0.8,44.0,,Guilherme Tinga,4-4-2,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Castelão,Fortaleza
82,15,2023-05-27,16:00,Série A,Rodada da semana 8,sáb,Em casa,V,2.0,0.0,Vasco da Gama,1.5,0.7,49.0,,Guilherme Tinga,4-4-2,Edina Alves Batista,Relatório da Partida,Castelão,Fortaleza
83,16,2023-06-03,16:00,Série A,Rodada da semana 9,sáb,Em casa,E,0.0,0.0,Bahia,0.6,0.3,55.0,38.338,Guilherme Tinga,4-2-3-1,João Vitor Gobi,Relatório da Partida,Castelão,Fortaleza
84,20,2023-06-24,18:30,Série A,Rodada da semana 12,sáb,Em casa,V,2.0,1.0,Atlético Mineiro,0.8,1.0,42.0,,Guilherme Tinga,3-5-2,Leandro Pedro Vuaden,Relatório da Partida,Castelão,Fortaleza
85,3,2023-04-23,19:00,Série A,Rodada da semana 2,dom,Em casa,V,3.0,1.0,Corinthians,1.2,0.5,52.0,8.508,Tadeu,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,Serrinha,Goias
86,6,2023-05-07,18:30,Série A,Rodada da semana 4,dom,Em casa,D,0.0,5.0,Palmeiras,0.7,2.0,44.0,,Lucas Halter,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,Serrinha,Goias
87,8,2023-05-14,18:30,Série A,Rodada da semana 6,dom,Em casa,V,2.0,1.0,Botafogo (RJ),1.9,1.5,47.0,6.674,Lucas Halter,4-3-3,Rafael Rodrigo Klein,Relatório da Partida,Serrinha,Goias
88,12,2023-06-04,18:30,Série A,Rodada da semana 9,dom,Em casa,D,0.0,1.0,Cuiabá,0.4,1.2,55.0,,Tadeu,4-2-3-1,Marcelo de Lima Henrique,Relatório da Partida,Serrinha,Goias
89,14,2023-06-11,18:30,Série A,Rodada da semana 10,dom,Em casa,E,2.0,2.0,Fluminense,2.1,1.3,41.0,,Tadeu,4-5-1,Leandro Pedro Vuaden,Relatório da Partida,Serrinha,Goias
